"id";"provider_operation_id";"merchant_id";"from_wallet_id";"to_wallet_id";"currency_id";"order_id";"amount";"description";"type";"in_sandbox";"status";"error";"has_error";"error_by_user_id";"time_create";"time_update";"time_result"
22938865;null;362;null;null;5;"1c6QfIG8qcy.1";10.0000;null;payin;0;pending;Кошельки платежной системы не созданы;1;313;2022-03-28 09:33:42.000;2022-03-28 11:53:14.000;null
22938881;null;362;null;null;5;"1c6V4p9r1Oa.1";10.0000;null;payin;0;pending;"";1;313;2022-03-28 10:35:26.000;2022-03-28 11:51:58.000;null
22938905;null;362;3881;3865;5;"1c6dVFiXDmK.1";10.0000;null;payin;0;pending;"";1;313;2022-03-28 12:33:21.000;2022-03-28 18:58:14.000;null
22939059;null;362;null;null;5;"1c7xHAw36rA.1";10.0000;null;payin;0;pending;"";1;335;2022-03-29 07:37:39.000;2022-03-29 09:58:12.000;null
22939080;null;362;null;null;5;"1c8J8Q9gHwm.1";10.0000;null;payin;0;pending;"";1;313;2022-03-29 12:43:32.000;2022-03-29 12:58:07.000;null
22939088;null;362;3881;3865;5;"1c8MMds1LqS.1";10.0000;null;payin;0;fail;null;0;null;2022-03-29 13:33:26.000;2022-03-29 14:04:02.000;2022-03-29 14:04:02.000
22939094;null;362;3881;3865;5;"1c8MMds1LqS.2";10.0000;null;payin;0;fail;null;0;null;2022-03-29 13:49:19.000;2022-03-29 14:10:03.000;2022-03-29 14:10:03.000
22939104;null;362;3881;3865;5;"1c8QV0OVLpA.1";10.0000;null;payin;0;fail;null;0;null;2022-03-29 14:26:42.000;2022-03-29 14:50:03.000;2022-03-29 14:50:03.000
22939110;null;362;3881;3865;5;"1c8RvClN1AO.1";10.0000;null;payin;0;fail;null;0;null;2022-03-29 14:46:37.000;2022-03-29 15:10:03.000;2022-03-29 15:10:03.000
22939122;null;362;3881;3865;5;"1c8UW3H9TH6.1";10.0000;null;payin;0;fail;null;0;null;2022-03-29 15:22:54.000;2022-03-29 15:50:03.000;2022-03-29 15:50:03.000
22939129;null;362;3881;3865;5;"1c8VSCupErA.1";10.0000;null;payin;0;fail;null;0;null;2022-03-29 15:35:59.000;2022-03-29 16:10:03.000;2022-03-29 16:10:03.000
22939133;null;362;3881;3865;5;"1c8Wbc33PjU.1";10.0000;null;payin;0;fail;null;0;null;2022-03-29 15:52:06.000;2022-03-29 15:54:12.000;2022-03-29 15:54:12.000
22939205;null;362;3881;3865;5;"1c9fiebIcD2.1";10.0000;null;payin;0;fail;null;0;null;2022-03-30 08:27:18.000;2022-03-30 09:10:03.000;2022-03-30 09:10:03.000
22939209;null;362;3881;3865;5;"1c9hSxZIlV2.1";10.0000;null;payin;0;fail;null;0;null;2022-03-30 08:51:43.000;2022-03-30 08:57:10.000;2022-03-30 08:57:10.000
22939235;null;362;3881;3865;5;"1c9pvWIWnxI.1";10.0000;null;payin;0;fail;null;0;null;2022-03-30 10:50:07.000;2022-03-30 11:30:03.000;2022-03-30 11:30:03.000
22939245;"147908174";362;3881;3865;5;"1c9rIiofq3U.1";10.0000;null;payin;0;paid;null;0;null;2022-03-30 11:09:21.000;2022-03-30 11:10:54.000;2022-03-30 11:10:54.000
22939265;"147909861";362;3881;3865;5;"1c9vFB1M6ds.1";10.0000;null;payin;0;paid;null;0;null;2022-03-30 12:04:32.000;2022-03-30 12:05:10.000;2022-03-30 12:05:10.000
