"id";"provider_operation_id";"merchant_id";"from_wallet_id";"to_wallet_id";"currency_id";"order_id";"amount";"description";"type";"in_sandbox";"status";"error";"has_error";"error_by_user_id";"time_create";"time_update";"time_result"
22939088;null;362;3881;3865;5;"1c8MMds1LqS.1";10.0000;null;payin;0;fail;null;0;null;2022-03-29 13:33:26.000;2022-03-29 14:04:02.000;2022-03-29 14:04:02.000
22939094;null;362;3881;3865;5;"1c8MMds1LqS.2";10.0000;null;payin;0;fail;null;0;null;2022-03-29 13:49:19.000;2022-03-29 14:10:03.000;2022-03-29 14:10:03.000
22939104;null;362;3881;3865;5;"1c8QV0OVLpA.1";10.0000;null;payin;0;fail;null;0;null;2022-03-29 14:26:42.000;2022-03-29 14:50:03.000;2022-03-29 14:50:03.000
22939110;null;362;3881;3865;5;"1c8RvClN1AO.1";10.0000;null;payin;0;fail;null;0;null;2022-03-29 14:46:37.000;2022-03-29 15:10:03.000;2022-03-29 15:10:03.000
22939122;null;362;3881;3865;5;"1c8UW3H9TH6.1";10.0000;null;payin;0;fail;null;0;null;2022-03-29 15:22:54.000;2022-03-29 15:50:03.000;2022-03-29 15:50:03.000
22939129;null;362;3881;3865;5;"1c8VSCupErA.1";10.0000;null;payin;0;fail;null;0;null;2022-03-29 15:35:59.000;2022-03-29 16:10:03.000;2022-03-29 16:10:03.000
22939133;null;362;3881;3865;5;"1c8Wbc33PjU.1";10.0000;null;payin;0;fail;null;0;null;2022-03-29 15:52:06.000;2022-03-29 15:54:12.000;2022-03-29 15:54:12.000
22939205;null;362;3881;3865;5;"1c9fiebIcD2.1";10.0000;null;payin;0;fail;null;0;null;2022-03-30 08:27:18.000;2022-03-30 09:10:03.000;2022-03-30 09:10:03.000
22939209;null;362;3881;3865;5;"1c9hSxZIlV2.1";10.0000;null;payin;0;fail;null;0;null;2022-03-30 08:51:43.000;2022-03-30 08:57:10.000;2022-03-30 08:57:10.000
22939235;null;362;3881;3865;5;"1c9pvWIWnxI.1";10.0000;null;payin;0;fail;null;0;null;2022-03-30 10:50:07.000;2022-03-30 11:30:03.000;2022-03-30 11:30:03.000
22939289;null;362;3881;3865;5;"1c9vOjIFne4.1";50.0000;null;payin;0;fail;null;0;null;2022-03-30 12:06:38.000;2022-03-30 12:07:17.000;2022-03-30 12:07:17.000
22939291;null;362;3881;3865;5;"1c9vQXIiDwW.1";49.0000;null;payin;0;fail;null;0;null;2022-03-30 12:07:03.000;2022-03-30 12:07:41.000;2022-03-30 12:07:41.000
22939293;null;362;3881;3865;5;"1c9vRzDrfhg.1";10.0000;null;payin;0;fail;null;0;null;2022-03-30 12:07:24.000;2022-03-30 12:40:02.000;2022-03-30 12:40:02.000
22939297;null;362;3881;3865;5;"1c9vThOh7Ds.1";20.0000;null;payin;0;fail;null;0;null;2022-03-30 12:07:45.000;2022-03-30 12:08:22.000;2022-03-30 12:08:22.000
22939307;null;362;3881;3865;5;"1c9vZiFwrU8.1";20.0000;null;payin;0;fail;null;0;null;2022-03-30 12:09:07.000;2022-03-30 12:09:34.000;2022-03-30 12:09:34.000
22939309;null;362;3881;3865;5;"1c9vZtzkLvU.1";15.0000;null;payin;0;fail;null;0;null;2022-03-30 12:09:09.000;2022-03-30 12:11:45.000;2022-03-30 12:11:45.000
22939311;null;362;3881;3865;5;"1c9va7lZlBY.1";20.0000;null;payin;0;fail;null;0;null;2022-03-30 12:09:12.000;2022-03-30 12:09:52.000;2022-03-30 12:09:52.000
22939313;null;362;3881;3865;5;"1c9vb2CLTWq.1";50.0000;null;payin;0;fail;null;0;null;2022-03-30 12:09:27.000;2022-03-30 12:09:54.000;2022-03-30 12:09:54.000
22939315;null;362;3881;3865;5;"1c9vcAcZKJE.1";20.0000;null;payin;0;fail;null;0;null;2022-03-30 12:09:42.000;2022-03-30 12:10:42.000;2022-03-30 12:10:42.000
22939319;null;362;3881;3865;5;"1c9vczz73Wy.1";40.0000;null;payin;0;fail;null;0;null;2022-03-30 12:09:51.000;2022-03-30 12:10:23.000;2022-03-30 12:10:23.000
22939323;null;362;3881;3865;5;"1c9veq8PjdY.1";10.0000;null;payin;0;fail;null;0;null;2022-03-30 12:10:16.000;2022-03-30 12:10:43.000;2022-03-30 12:10:43.000
22939325;null;362;3881;3865;5;"1c9veveAnJI.1";15.0000;null;payin;0;fail;null;0;null;2022-03-30 12:10:20.000;2022-03-30 12:10:59.000;2022-03-30 12:10:59.000
22939327;null;362;3881;3865;5;"1c9vgJAG6sK.1";20.0000;null;payin;0;fail;null;0;null;2022-03-30 12:10:38.000;2022-03-30 12:11:09.000;2022-03-30 12:11:09.000
22939329;null;362;3881;3865;5;"1c9vgpbM7RQ.1";20.0000;null;payin;0;fail;null;0;null;2022-03-30 12:10:43.000;2022-03-30 12:11:30.000;2022-03-30 12:11:30.000
22939335;null;362;3881;3865;5;"1c9vj9n0zxI.1";20.0000;null;payin;0;fail;null;0;null;2022-03-30 12:11:15.000;2022-03-30 12:11:20.000;2022-03-30 12:11:20.000
22939337;null;362;3881;3865;5;"1c9vk4BnWO8.1";10.0000;null;payin;0;fail;null;0;null;2022-03-30 12:11:29.000;2022-03-30 12:11:58.000;2022-03-30 12:11:58.000
22939339;null;362;3881;3865;5;"1c9vkR3vTAO.1";50.0000;null;payin;0;fail;null;0;null;2022-03-30 12:11:32.000;2022-03-30 12:12:15.000;2022-03-30 12:12:15.000
22939341;null;362;3881;3865;5;"1c9vlhxYqmG.1";20.0000;null;payin;0;fail;null;0;null;2022-03-30 12:11:49.000;2022-03-30 12:12:11.000;2022-03-30 12:12:11.000
22939343;null;362;3881;3865;5;"1c9vm08Am2K.1";10.0000;null;payin;0;fail;null;0;null;2022-03-30 12:11:56.000;2022-03-30 12:12:40.000;2022-03-30 12:12:40.000
22939345;null;362;3881;3865;5;"1c9vmbWOlLE.1";20.0000;null;payin;0;fail;null;0;null;2022-03-30 12:12:01.000;2022-03-30 12:12:32.000;2022-03-30 12:12:32.000
22939347;null;362;3881;3865;5;"1c9vmXZ9KxU.1";20.0000;null;payin;0;fail;null;0;null;2022-03-30 12:12:03.000;2022-03-30 12:12:40.000;2022-03-30 12:12:40.000
22939349;null;362;3881;3865;5;"1c9vmt1qqjw.1";15.0000;null;payin;0;fail;null;0;null;2022-03-30 12:12:07.000;2022-03-30 12:12:38.000;2022-03-30 12:12:38.000
22939357;null;362;3881;3865;5;"1c9voXrkhN2.1";20.0000;null;payin;0;fail;null;0;null;2022-03-30 12:12:30.000;2022-03-30 12:13:07.000;2022-03-30 12:13:07.000
22939359;null;362;3881;3865;5;"1c9voZ1ZDHM.1";300.0000;null;payin;0;fail;null;0;null;2022-03-30 12:12:31.000;2022-03-30 12:13:19.000;2022-03-30 12:13:19.000
22939361;null;362;3881;3865;5;"1c9voli7gi8.1";19.0000;null;payin;0;fail;null;0;null;2022-03-30 12:12:33.000;2022-03-30 12:13:10.000;2022-03-30 12:13:10.000
22939363;null;362;3881;3865;5;"1c9vpeFf3Gi.1";140.0000;null;payin;0;fail;null;0;null;2022-03-30 12:12:45.000;2022-03-30 12:13:21.000;2022-03-30 12:13:21.000
22939367;null;362;3881;3865;5;"1c9vqGxv7AG.1";20.0000;null;payin;0;fail;null;0;null;2022-03-30 12:12:53.000;2022-03-30 12:12:57.000;2022-03-30 12:12:57.000
22939369;null;362;3881;3865;5;"1c9vqM7XRcu.1";18.0000;null;payin;0;fail;null;0;null;2022-03-30 12:12:54.000;2022-03-30 12:50:03.000;2022-03-30 12:50:03.000
22939373;null;362;3881;3865;5;"1c9vqvmketU.1";60.0000;null;payin;0;fail;null;0;null;2022-03-30 12:13:02.000;2022-03-30 12:13:51.000;2022-03-30 12:13:51.000
